KKR1_ID,x,y,lab_diag,animal
1208,100.105129,7.430848,FMD,cattle
1211,99.614465,7.556906,FMD,beef
1212,101.454871,14.805326,FMD,dairy
1216,101.454871,14.805326,FMD,dairy
1231,99.149849,18.722045,FMD,dairy
1234,98.776575,18.690868,FMD,dairy
1235,98.586395,17.878241,Hemorrhagic Septicemia,beef
1236,100.083323,7.57132,FMD,cattle
1238,99.410521,16.308791,FMD,beef
1239,100.048823,7.54458,FMD,beef
1244,101.378162,14.88546,FMD,dairy
1245,99.312707,18.802048,FMD,dairy
1246,99.167166,18.672584,FMD,dairy
1247,101.500131,14.712872,FMD,dairy
1248,100.173044,7.334559,FMD,cattle
1249,100.335061,7.329198,FMD,cattle
1251,99.755545,18.477738,FMD,beef
1257,101.454871,14.805326,FMD,dairy
1259,101.555284,6.573763,Brucellosis,beef
1262,100.054476,8.273257,FMD,beef
1263,100.108389,8.358563,FMD,beef
1267,99.287506,18.599793,FMD,dairy
1270,101.380775,14.996216,FMD,dairy
1271,100.005074,7.653092,FMD,cattle
1272,99.988301,8.234104,FMD,beef
1273,99.67273,19.733554,FMD,beef
1278,100.089797,8.280793,FMD,beef
1281,100.316143,17.002753,Brucellosis,beef
1284,100.407215,7.581489,FMD,beef
1285,100.003486,7.281121,FMD,beef
1286,99.842746,8.257584,FMD,beef
1287,99.853396,8.076729,FMD,bull
1288,100.23137,19.803331,FMD,dairy
1289,99.67193,11.708814,FMD,cattle
1292,99.909424,8.260646,FMD,beef
1293,100.140584,7.829208,FMD,cattle
1294,100.173044,7.334559,FMD,cattle
1295,101.474356,6.735675,FMD,beef
1297,99.499934,8.173226,FMD,beef
1302,101.647378,14.637535,FMD,dairy
1304,99.503606,8.390412,FMD,beef
1313,100.442529,16.770447,Brucellosis,cattle
1316,100.219043,7.499046,FMD,cattle
1318,99.755545,18.477738,FMD,beef
1325,99.926387,13.744315,FMD,dairy
1329,99.876438,8.59109,Brucellosis,beef
1336,99.814328,12.847261,FMD,dairy
1338,99.964087,13.966737,FMD,dairy
1342,100.23137,19.803331,FMD,dairy
1343,102.146835,17.317574,FMD,dairy
1344,102.112887,17.299088,FMD,"dairy,beef"
1345,99.744303,19.780778,FMD,beef
1350,99.251082,18.818057,FMD,cattle
1351,100.05213,13.890719,FMD,beef
1354,99.062114,18.841825,FMD,dairy
1355,99.620093,8.254047,Brucellosis,bull
1356,99.973986,13.761538,FMD,dairy
1362,99.127923,19.340498,FMD,dairy
1367,98.903413,18.572942,FMD,dairy
1368,98.133842,18.095334,FMD,beef
1369,99.033628,18.826149,FMD,dairy
1372,99.173644,10.88028,Brucellosis,cattle
1377,101.174931,14.582993,FMD,dairy
1378,99.953381,13.914767,FMD,dairy
1382,99.561098,18.589827,FMD,beef
1383,99.001059,19.049689,FMD,cattle
1398,99.125856,18.590055,FMD,dairy
1402,100.119695,19.896952,FMD,cattle
1403,100.177218,19.747403,FMD,dairy
1404,100.073784,13.727603,FMD,cattle
1406,101.454871,14.805326,FMD,"dairy,beef"
1407,99.008204,17.513381,FMD,beef
1412,98.829482,19.011109,FMD,cattle
1415,100.158778,18.195536,FMD,"dairy,beef"
1416,101.378162,14.88546,Brucellosis,dairy
1418,98.793706,18.358937,FMD,"dairy,beef"
1419,99.562722,17.308314,FMD,beef
1423,99.743014,8.163999,FMD,beef
1424,99.238337,18.512757,FMD,dairy
1427,102.836416,16.591283,FMD,beef
1428,98.787766,18.556586,FMD,"dairy,beef"
1430,99.167166,18.672584,FMD,dairy
1431,99.744303,19.780778,FMD,beef
1432,99.854827,13.708478,FMD,dairy
1437,98.908783,19.074432,FMD,cattle
1439,100.083323,7.57132,FMD,beef
1448,99.980829,14.023857,FMD,dairy
1451,103.08568,16.869882,FMD,dairy
1452,99.152248,18.634239,FMD,dairy
1456,100.177218,19.747403,FMD,"dairy,beef"
1479,100.020513,20.289854,FMD,"dairy,beef"
1483,101.362923,14.721448,FMD,"dairy,beef"
1486,100.005074,7.653092,FMD,bull
1487,103.455341,16.939743,FMD,dairy
1488,99.947754,7.860454,FMD,beef
1492,99.42339,19.358034,FMD,"dairy,beef"
1495,99.949455,7.608044,FMD,bull
1500,99.965795,8.311027,Brucellosis,cattle
1502,98.811442,19.103679,FMD,cattle
1506,98.840096,18.564163,FMD,cattle
1509,100.036342,7.869051,Brucellosis,cattle
1511,100.284603,8.132307,Brucellosis,bull
1512,100.14613,7.386905,FMD,bull
1513,99.725608,19.450505,FMD,"dairy,beef"
1515,99.105126,18.703613,FMD,cattle
1516,99.176598,19.315714,FMD,cattle
1517,99.759304,16.741813,FMD,"dairy,beef"
1520,99.339152,18.420565,FMD,"dairy,beef"
1522,98.882838,18.509435,FMD,dairy
1523,99.926387,13.744315,FMD,dairy
1524,98.849566,18.584467,FMD,cattle
1533,100.181486,19.86532,FMD,dairy
1534,100.266358,18.208561,FMD,beef
1535,100.122276,14.634208,FMD,cattle
1538,103.120093,15.923848,FMD,dairy
1539,98.897058,18.369411,FMD,beef
1548,100.054476,8.273257,Brucellosis,beef
1549,99.2241,18.700925,FMD,dairy
1550,98.793706,18.358937,FMD,dairy
1551,99.854135,19.204112,FMD,beef
1552,103.284348,16.964509,FMD,dairy
1553,99.371595,7.856168,Brucellosis,beef
1556,99.88773,12.68068,FMD,cattle
1570,100.383031,13.95175,FMD,beef
1574,98.564963,18.385423,FMD,cattle
1575,99.702908,19.661322,FMD,cattle
1577,100.036342,7.869051,Brucellosis,cattle
1578,100.853547,13.72731,FMD,cattle
1579,101.271709,14.791818,FMD,dairy
1591,99.884997,14.023188,FMD,dairy
1600,99.810813,13.741908,FMD,dairy
1603,100.466486,15.401766,FMD,dairy
1606,101.500131,14.712872,FMD,dairy
1607,100.23137,19.803331,FMD,dairy
1608,100.165627,7.534359,FMD,beef
1609,98.903413,18.572942,FMD,dairy
1610,101.378162,14.88546,FMD,dairy
1611,99.67193,11.708814,FMD,dairy
1612,98.971721,18.467564,FMD,beef
1613,98.967354,18.561413,FMD,beef
1615,100.419197,7.395049,FMD,beef
1617,99.67273,19.733554,FMD,beef
1618,100.581701,16.398002,FMD,beef
1620,99.810969,13.694527,FMD,dairy
1621,100.316832,6.831729,FMD,beef
1623,99.827981,13.882232,FMD,dairy
1625,99.697307,13.97034,FMD,cattle
1627,100.095988,19.425735,FMD,beef
1628,98.72103,18.56502,FMD,cattle
1630,99.757921,18.246897,FMD,beef
1634,99.697018,13.801496,FMD,dairy
1636,101.4101,16.735503,FMD,dairy
1645,99.804356,17.306692,FMD,dairy
1646,101.482322,14.610963,FMD,"dairy,beef"
1647,99.588582,17.377069,FMD,beef
1649,99.864527,13.771257,FMD,dairy
1650,99.744303,19.780778,FMD,"dairy,beef"
1651,99.791782,19.814679,FMD,cattle
1653,100.090265,14.022404,FMD,beef
1655,100.428117,16.55834,FMD,cattle
1656,100.278403,6.728389,FMD,beef
1658,99.850708,13.953946,FMD,dairy
1661,101.454871,14.805326,FMD,dairy
1662,99.96756,13.580667,FMD,beef
1666,101.362923,14.721448,FMD,dairy
1667,101.571522,14.70522,FMD,dairy
1668,99.919682,13.772567,FMD,dairy
1669,100.486833,6.9218,FMD,beef
1671,101.482322,14.610963,FMD,dairy
1672,101.454871,14.805326,FMD,"dairy,beef"
1675,99.933708,13.819562,FMD,dairy
1677,99.476761,14.220623,FMD,cattle
1679,99.95166,12.744162,FMD,dairy
1686,101.162825,14.86662,FMD,dairy
1687,98.903413,18.572942,FMD,dairy
1688,102.753992,16.568236,FMD,dairy
1690,101.778336,15.924115,Brucellosis,beef
1692,103.262412,16.349338,FMD,beef
1694,99.857927,6.989905,FMD,beef
1695,101.147185,16.507078,FMD,cattle
1697,101.500131,14.712872,FMD,dairy
1698,101.133744,15.150472,FMD,beef
1699,99.889042,13.910891,FMD,dairy
1703,100.608196,15.211396,FMD,beef
1706,99.167166,18.672584,FMD,dairy
1707,99.27601,8.945254,FMD,beef
1710,101.378162,14.88546,FMD,dairy
1712,99.860805,12.596014,FMD,beef
1715,99.897845,14.770825,FMD,cattle
1718,105.464429,14.75896,FMD,beef
1719,99.883545,13.787037,FMD,dairy
1721,99.821447,19.672606,FMD,cattle
1725,103.787621,15.315926,FMD,"dairy,beef"
1727,102.835772,15.115046,FMD,beef
1728,101.928193,15.0313,FMD,cattle
1729,99.944776,19.681101,FMD,beef
1731,102.056021,15.212941,FMD,beef
1733,99.885076,13.718807,FMD,beef
1734,102.107195,15.851422,FMD,beef
